Target,TargetSignature,TargetCellLine,TargetConcentration,TargetTime,FDA_Phase,PNGF_1M,WT_1M,PNGF_3M,WT_3M
Taselisib,LINCSCP_107592,HELA,10uM,24h,3,NA,-0.21147282,NA,NA
RO4987655,LINCSCP_95226,HA1E,0.12uM,24h,1,NA,-0.21142567,NA,NA
brivanib,LINCSCP_103129,HELA,10uM,24h,NA,NA,-0.2112975,NA,NA
Candesartan,LINCSCP_108506,HELA,0.37uM,24h,4,NA,-0.21128773,NA,NA
Candesartan,LINCSCP_108506,HELA,0.37uM,24h,3,NA,-0.21128773,NA,NA
Ipatasertib,LINCSCP_83055,ASC.C,0.12uM,24h,2,NA,-0.21126962,NA,NA
Melperone,LINCSCP_144265,MCF7,1.11uM,24h,3,NA,-0.21113502,NA,NA
NU-7026,LINCSCP_82403,A549,3.33uM,24h,NA,NA,-0.21109696,NA,NA
Ubenimex,LINCSCP_171144,YAPC,1.11uM,24h,2,NA,-0.21105559,NA,NA
AC1O44XP,LINCSCP_310232,VCAP,5uM,48h,NA,NA,-0.21096304,0.22609623,NA
Lorglumide,LINCSCP_104121,HELA,0.12uM,24h,NA,NA,-0.21088799,NA,NA
BRD-A81936046,LINCSCP_286970,SNUC4,10uM,6h,NA,NA,-0.21085658,NA,NA
ZINC6718453,LINCSCP_83902,ASC.C,10uM,24h,NA,NA,-0.21076322,NA,NA
Cabazitaxel,LINCSCP_138309,MCF7,0.37uM,24h,NA,NA,-0.21069561,NA,NA
MLS003672589,LINCSCP_287897,T3M10,10uM,6h,NA,NA,-0.21052855,NA,NA
Nobiletin,LINCSCP_18381,HCC515,10uM,6h,NA,NA,-0.21049438,NA,NA
BML-266,LINCSCP_13264,FIBRNPC,10uM,24h,NA,NA,-0.21033649,NA,NA
Saquinavir,LINCSCP_13871,HA1E,10uM,6h,4,NA,-0.21031364,NA,NA
CHEMBL1332325,LINCSCP_4951,A549,10uM,24h,NA,NA,-0.21025865999999999,NA,NA
MLS-0315871.0001,LINCSCP_32087,MCF7,10uM,24h,NA,NA,-0.21018649,NA,NA
SCH-28080,LINCSCP_157759,PC3,0.37uM,24h,NA,NA,-0.21017158,NA,NA
MLS001176107,LINCSCP_6308,A549,10uM,24h,NA,NA,-0.21013885,NA,NA
SCHEMBL17052537,LINCSCP_130199,LNCAP,0.04uM,3h,NA,NA,-0.21007654,NA,NA
BRD-K53359044,LINCSCP_310162,VCAP,30uM,6h,NA,NA,-0.21006644,NA,NA
MLS002473426,LINCSCP_238412,MCF7,10uM,24h,NA,NA,-0.21006248,NA,NA
SA-440832,LINCSCP_253744,MCF7,3uM,6h,NA,NA,-0.21003069,NA,NA
KUC103424N,LINCSCP_238280,MCF7,10uM,24h,NA,NA,-0.21001313,0.20705674,0.22293326
Bexarotene,LINCSCP_144222,MCF7,3.33uM,24h,4,NA,-0.20998112,NA,NA
2'-Deoxycytidine (hydrochloride),LINCSCP_143265,MCF7,0.12uM,24h,NA,NA,-0.20985755,NA,NA
BRD-K17427497,LINCSCP_63979,VCAP,5uM,24h,NA,NA,-0.20985302,NA,0.21368238
Fenobam,LINCSCP_94296,HA1E,3.33uM,24h,1,NA,-0.20976242,NA,NA
CHEMBL1242477,LINCSCP_201119,A549,0.1uM,24h,NA,NA,-0.20973549,NA,NA
Aggc,LINCSCP_6469,A549,10uM,24h,NA,NA,-0.20972878,NA,NA
CI-966,LINCSCP_107147,HELA,1.11uM,24h,NA,NA,-0.20971107,NA,NA
Alfuzosin,LINCSCP_243337,MCF7,10uM,24h,4,NA,-0.20966571,NA,NA
BRD-K13626437,LINCSCP_61943,VCAP,5uM,24h,NA,NA,-0.20963249,NA,NA
Tretinoin,LINCSCP_36000,MCF7,0.1uM,24h,4,NA,-0.20963123,NA,NA
AC1MGPVN,LINCSCP_283817,SKB,10uM,24h,NA,NA,-0.20954598,NA,NA
TIBOLONE,LINCSCP_143366,MCF7,0.37uM,24h,NA,NA,-0.20931698,NA,NA
MLS002703293,LINCSCP_5048,A549,10uM,6h,NA,NA,-0.20926007,NA,0.20161905
BRD-K21953167,LINCSCP_311825,VCAP,10uM,6h,NA,NA,-0.20915374,NA,NA
BRD-K83727172,LINCSCP_65714,VCAP,10uM,24h,NA,NA,-0.20908609,NA,NA
BRD-K37262906,LINCSCP_59760,VCAP,5uM,6h,NA,NA,-0.20896069,NA,NA
Dehydroepiandrosterone (DHEA),LINCSCP_141426,MCF7,3.33uM,24h,NA,NA,-0.20885569,NA,NA
ZINC01282667,LINCSCP_6073,A549,10uM,6h,NA,NA,-0.20883623,NA,NA
BMY-14802,LINCSCP_92911,HA1E,0.04uM,24h,NA,NA,-0.2088162,NA,NA
Pidotimod,LINCSCP_103361,HELA,0.04uM,24h,NA,NA,-0.20873424,NA,NA
SA-89068,LINCSCP_37202,MCF7,0.5uM,6h,NA,NA,-0.20870906,NA,0.20703556
C19H19FN4O3,LINCSCP_145273,MDAMB231,0.12uM,3h,NA,NA,-0.20865211,NA,NA
ST50998710,LINCSCP_261499,NPC,10uM,24h,NA,NA,-0.20859999,NA,NA
VILAZODONE HYDROCHLORIDE,LINCSCP_139698,MCF7,10uM,24h,4,NA,-0.20859209,NA,NA
Diazepam,LINCSCP_134957,MCF7,1.11uM,24h,4,NA,-0.20852529,NA,NA
Ribavirin,LINCSCP_110975,HELA,0.12uM,24h,NA,NA,-0.20850408,NA,NA
Ribavirin,LINCSCP_110975,HELA,0.12uM,24h,4,NA,-0.20850408,NA,NA
BRD-K70900504,LINCSCP_41066,NEU,10uM,24h,NA,NA,-0.20850339,NA,NA
Etofenamate,LINCSCP_97578,HA1E,3.33uM,24h,NA,NA,-0.20844662,NA,NA
BRD-K05378136,LINCSCP_311436,VCAP,10uM,6h,NA,NA,-0.20838678,NA,NA
NCGC00346967-01,LINCSCP_83674,ASC.C,1.11uM,24h,NA,NA,-0.20830909,NA,NA
CHEMBL1984778,LINCSCP_7884,A549,10uM,24h,NA,NA,-0.20820785,0.20400841,NA
Amantadine,LINCSCP_173951,YAPC,10uM,24h,NA,NA,-0.2081121,NA,NA
Amantadine,LINCSCP_173951,YAPC,10uM,24h,4,NA,-0.2081121,NA,NA
SA-1458610,LINCSCP_252712,MCF7,1uM,24h,NA,NA,-0.2080674,NA,NA
BRD-K49553303-001-01-8,LINCSCP_295846,VCAP,10uM,6h,NA,NA,-0.20805571,NA,NA
Chloropyramine,LINCSCP_48047,PC3,10uM,6h,NA,NA,-0.20799239,NA,NA
ON-01910,LINCSCP_2157,A375,10uM,6h,NA,NA,-0.20798021,NA,0.24061283
Mianserin,LINCSCP_90442,HA1E,3.33uM,24h,4,NA,-0.20796836,NA,NA
Etifenin,LINCSCP_13746,HA1E,10uM,24h,NA,NA,-0.20781402,NA,NA
F1304-0056,LINCSCP_50248,PHH,3uM,24h,NA,NA,-0.20764044,NA,NA
NVP-AEW541,LINCSCP_36996,MCF7,0.5uM,6h,NA,NA,-0.20759679,NA,NA
Levothyroxine,LINCSCP_104154,HELA,3.33uM,24h,4,NA,-0.20744289,NA,NA
MLS003178531,LINCSCP_237380,MCF7,10uM,24h,NA,NA,-0.20742686,NA,NA
Tetramisole,LINCSCP_6940,A549,10uM,6h,NA,NA,-0.20718916,NA,NA
CHEMBL3187550,LINCSCP_27998,HT29,5uM,24h,NA,NA,-0.20710885,NA,NA
L-Sulforaphane,LINCSCP_38444,MCF7,3.33uM,24h,NA,NA,-0.2070922,NA,NA
Vicriviroc,LINCSCP_159737,PC3,0.37uM,24h,3,NA,-0.2070051,NA,0.22501798
BRD-K38688128,LINCSCP_60374,VCAP,5uM,24h,NA,NA,-0.20683909,NA,NA
Nemonapride,LINCSCP_108313,HELA,1.11uM,24h,NA,NA,-0.20683286,NA,NA
Nemonapride,LINCSCP_108313,HELA,1.11uM,24h,NA,NA,-0.20683286,NA,NA
Tryptoline,LINCSCP_45913,PC3,10uM,24h,NA,NA,-0.20680604,NA,0.22920101
TL_HRAS27,LINCSCP_237309,MCF7,10uM,24h,NA,NA,-0.20673752,NA,NA
BRD-K13217265,LINCSCP_278978,PC3,10uM,6h,NA,NA,-0.20665214,NA,NA
Norethindrone Acetate,LINCSCP_25212,HT29,10uM,24h,NA,NA,-0.20661606,NA,NA
BRD-A83706824,LINCSCP_155543,PC3,0.37uM,24h,NA,NA,-0.20659625,NA,NA
BRD-K17906992,LINCSCP_8663,A549,5uM,24h,NA,NA,-0.20650416,NA,NA
SLx-2119,LINCSCP_175338,YAPC,0.12uM,24h,NA,NA,-0.20635861,NA,NA
Zaleplon,LINCSCP_34524,MCF7,10uM,24h,4,NA,-0.20632976,NA,NA
BRD-K30822915,LINCSCP_62270,VCAP,5uM,24h,NA,NA,-0.20622444,NA,NA
BRD-K64920356,LINCSCP_27703,HT29,5uM,24h,NA,NA,-0.20621986,NA,NA
BRD-K60836534,LINCSCP_28372,HT29,10uM,24h,NA,NA,-0.20621362,NA,NA
AZD7545,LINCSCP_53805,SNUC4,20uM,6h,NA,NA,-0.20599043,NA,NA
AZD7545,LINCSCP_53805,SNUC4,20uM,6h,NA,NA,-0.20599043,NA,NA
Ranitidine,LINCSCP_142598,MCF7,0.37uM,24h,NA,NA,-0.20594868,NA,NA
CHEMBL1269202,LINCSCP_45888,PC3,10uM,24h,NA,NA,-0.20587736,NA,0.22562977
VX222,LINCSCP_32550,MCF7,10uM,24h,NA,NA,-0.20582743,NA,0.2309071
Tranylcypromine,LINCSCP_112552,HEPG2,3.33uM,24h,NA,NA,-0.20581689,NA,NA
SCHEMBL3655059,LINCSCP_6310,A549,10uM,24h,NA,NA,-0.20575233,NA,0.2213633
Gabexate,LINCSCP_262901,NPC,10uM,24h,3,NA,-0.20569636,NA,NA
BRD-K96403486,LINCSCP_20178,HCC515,10uM,6h,NA,NA,-0.20563656,NA,NA
SMR000031368,LINCSCP_188923,A549,10uM,24h,NA,NA,-0.2055973,NA,NA
Argatroban,LINCSCP_102782,HELA,0.04uM,24h,NA,NA,-0.20547619,NA,NA
Argatroban,LINCSCP_102782,HELA,0.04uM,24h,4,NA,-0.20547619,NA,NA
SR-02000000367,LINCSCP_5519,A549,10uM,6h,NA,NA,-0.20545284,NA,NA
GSK-319347A,LINCSCP_55493,U937,5uM,6h,NA,NA,-0.20542899,NA,NA
BRD-K31315646,LINCSCP_253905,MCF7,1uM,24h,NA,NA,-0.20539925,0.20711182,NA
Pindolol,LINCSCP_143139,MCF7,0.12uM,24h,4,NA,-0.2053168,NA,NA
Ropinirole,LINCSCP_101525,HELA,10uM,24h,4,NA,-0.2052599,NA,NA
PH-797804,LINCSCP_144009,MCF7,0.12uM,24h,2,NA,-0.20524264,NA,NA
BRD-K25125608,LINCSCP_60152,VCAP,5uM,24h,NA,NA,-0.20517436,NA,NA
Anidulafungin,LINCSCP_109956,HELA,0.37uM,24h,NA,NA,-0.20516366,NA,NA
BRD-K84838433,LINCSCP_298658,VCAP,5uM,6h,NA,NA,-0.20500902,NA,NA
VX-661,LINCSCP_162225,PC3,3.33uM,24h,3,NA,-0.20498915,NA,NA
Vandetanib,LINCSCP_84371,ASC,3.33uM,24h,4,NA,-0.20491625,NA,NA
AZD-8330,LINCSCP_87702,HA1E,0.37uM,24h,1,NA,-0.20483642,-0.2137114,NA
Primidone,LINCSCP_14713,HA1E,10uM,24h,4,NA,-0.20478807,NA,NA
HG-9-91-01,LINCSCP_146563,NEU,1.11uM,24h,NA,NA,-0.20476756,NA,NA
Nicotin-Amide,LINCSCP_169251,YAPC,0.37uM,24h,4,NA,-0.20467789,NA,NA
BRD-K13369161,LINCSCP_48733,PC3,10uM,24h,NA,NA,-0.20465797,NA,NA
Daminozide,LINCSCP_100714,HCC515,1.11uM,24h,NA,NA,-0.20459793,NA,NA
Ricolinostat,LINCSCP_128785,HUVEC,0.12uM,24h,1,NA,-0.20459506,NA,NA
Pevonedistat,LINCSCP_41744,NKDBA,0.5uM,24h,2,NA,-0.20452011,NA,NA
Alpelisib,LINCSCP_130716,MCF10A,3.33uM,24h,3,NA,-0.20446498,NA,NA
CHEMDIV3_009089,LINCSCP_23328,HEPG2,3uM,24h,NA,NA,-0.20446027,NA,NA
Venlafaxine,LINCSCP_94757,HA1E,0.12uM,24h,4,NA,-0.20443743,NA,NA
PF-04691502,LINCSCP_74863,A375,0.37uM,24h,2,NA,-0.20442414,NA,NA
SCHEMBL6463646,LINCSCP_294812,VCAP,10uM,24h,NA,NA,-0.20432776,0.24183446,NA
SMR000046567,LINCSCP_45340,PC3,10uM,24h,NA,NA,-0.20431318,NA,NA
BRD-K86858124-001-01-2,LINCSCP_47570,PC3,10uM,24h,NA,NA,-0.20430039,NA,NA
Benzylpenicillin,LINCSCP_44651,PC3,10uM,6h,4,NA,-0.20426909,NA,NA
YC1,LINCSCP_44244,PC3,10uM,24h,NA,NA,-0.20425317,NA,NA
Avrainvillamide Analog 3,LINCSCP_38495,MCF7,0.37uM,24h,NA,NA,-0.2040752,NA,NA
BRD-K50696746,LINCSCP_60387,VCAP,5uM,24h,NA,NA,-0.20405099,NA,NA
BRD-A68202111,LINCSCP_141846,MCF7,3.33uM,24h,NA,NA,-0.20400873,NA,NA
MLS001116189,LINCSCP_46215,PC3,10uM,24h,NA,NA,-0.20398273,NA,NA
Moxifloxacin,LINCSCP_46803,PC3,10uM,24h,4,NA,-0.20395252,NA,NA
BRD-K13765840,LINCSCP_60660,VCAP,5uM,6h,NA,NA,-0.20394206,NA,NA
Dihydrocapsaicin,LINCSCP_43621,NPC,10uM,6h,NA,NA,-0.2039017,NA,NA
"Pfmrk inhibitor, wr 216174",LINCSCP_7452,A549,10uM,6h,NA,NA,-0.20389039,NA,NA
BRD-K87838816,LINCSCP_197377,A549,5uM,24h,NA,NA,-0.20383805,NA,0.23562338
Cefdinir,LINCSCP_134888,MCF7,0.12uM,24h,NA,NA,-0.20379604,NA,NA
SA-441145,LINCSCP_252586,MCF7,10uM,24h,NA,NA,-0.20375218,NA,NA
Chloroguanide,LINCSCP_290085,VCAP,10uM,24h,4,NA,-0.20373821,NA,NA
ALX-5407,LINCSCP_158306,PC3,0.04uM,24h,NA,NA,-0.20368525,NA,NA
Avagacestat (BMS-708163),LINCSCP_160095,PC3,3.33uM,24h,2,NA,-0.2036626,NA,NA
Vidarabine,LINCSCP_97486,HA1E,0.04uM,24h,4,NA,-0.20365934,NA,NA
BRD-K91758467,LINCSCP_63852,VCAP,5uM,6h,NA,NA,-0.20365257,NA,NA
ZINC00158302,LINCSCP_242762,MCF7,10uM,6h,NA,NA,-0.20361769,NA,NA
MLS003128613,LINCSCP_45552,PC3,10uM,24h,NA,NA,-0.20353412,NA,NA
Isoconazole,LINCSCP_80737,A375,3.33uM,24h,4,NA,-0.20347388,NA,NA
BRD-K53619921,LINCSCP_27547,HT29,5uM,24h,NA,NA,-0.20343517,NA,NA
GSK-923295,LINCSCP_155427,PC3,3.33uM,24h,NA,NA,-0.20339951,NA,NA
BRD-K61683215,LINCSCP_63232,VCAP,5uM,24h,NA,NA,-0.20323273,NA,NA
CTK8H3236,LINCSCP_40962,NEU,10uM,24h,NA,NA,-0.20322081,0.27717771,NA
MLS002232305,LINCSCP_32119,MCF7,10uM,24h,NA,NA,-0.20320509,NA,NA
Flavoxate,LINCSCP_124556,HT29,0.37uM,24h,4,NA,-0.20311428,NA,NA
Cinnarizine,LINCSCP_22885,HEPG2,10uM,6h,4,NA,-0.20296649,NA,NA
Flubendazole,LINCSCP_239324,MCF7,10uM,6h,NA,NA,-0.20295968,NA,NA
4-Iodo-6-phenylpyrimidine,LINCSCP_283133,RMGI,40uM,6h,NA,NA,-0.20291125,NA,NA
N-Arachidonoyl-gaba (na-gaba),LINCSCP_227148,HT29,10uM,6h,NA,NA,-0.20276947,NA,NA
SA-103150,LINCSCP_252709,MCF7,10uM,24h,NA,NA,-0.20276513,NA,NA
IN1549,LINCSCP_155169,PC3,10uM,24h,NA,NA,-0.20272254,NA,NA
MLS002276502,LINCSCP_15798,HA1E,10uM,24h,NA,NA,-0.20269743,NA,NA
BRD-K50868745,LINCSCP_249796,MCF7,10uM,24h,NA,NA,-0.20264606,NA,0.21512945
Phenylmethylsulfonylfluoride,LINCSCP_41378,NEU,10uM,24h,NA,NA,-0.20262162,NA,NA
Sufentanil,LINCSCP_168281,YAPC,0.12uM,24h,4,NA,-0.20258988,NA,NA
BRD-K34230554,LINCSCP_28350,HT29,10uM,24h,NA,NA,-0.20257939,NA,NA
STK111867,LINCSCP_4890,A549,10uM,24h,NA,NA,-0.20256492,NA,NA
MLS002264437,LINCSCP_5465,A549,10uM,6h,NA,NA,-0.20254958,NA,NA
Nevirapine,LINCSCP_118284,HT29,0.37uM,24h,4,NA,-0.20242624,NA,NA
BRD-K07627743,LINCSCP_312420,VCAP,3uM,24h,NA,NA,-0.20238444,NA,NA
BRD-K43792870,LINCSCP_60557,VCAP,5uM,24h,NA,NA,-0.20231093,0.22758286,NA
BRD-K68319707,LINCSCP_277959,PC3,10uM,24h,NA,NA,-0.20228238,NA,NA
Resorcinol Monoacetate,LINCSCP_19143,HCC515,10uM,6h,NA,NA,-0.20221746,NA,NA
BRD-K60631585,LINCSCP_48680,PC3,10uM,6h,NA,NA,-0.20221209,NA,NA
Tocainide,LINCSCP_26324,HT29,10uM,6h,4,NA,-0.20218304,NA,NA
Butamben,LINCSCP_47721,PC3,10uM,6h,4,NA,-0.20208567,NA,NA
SR-02000000238,LINCSCP_189543,A549,10uM,24h,NA,NA,-0.20204001,0.21336654,NA
BRD-K90234489,LINCSCP_48845,PC3,10uM,24h,NA,NA,-0.20203772,NA,NA
Rimantadine,LINCSCP_175117,YAPC,0.37uM,24h,NA,NA,-0.20191768,NA,NA
Rimantadine,LINCSCP_175117,YAPC,0.37uM,24h,4,NA,-0.20191768,NA,NA
SMR000798335,LINCSCP_267680,PC3,10uM,24h,NA,NA,-0.20191256,NA,NA
BRD-K48864121,LINCSCP_63092,VCAP,5uM,24h,NA,NA,-0.20187065,NA,NA
Glimepiride,LINCSCP_52748,SKB,10uM,24h,NA,NA,-0.20184554,NA,NA
Glimepiride,LINCSCP_52748,SKB,10uM,24h,4,NA,-0.20184554,NA,NA
Scoulerine,LINCSCP_282123,PHH,10uM,24h,NA,NA,-0.20184448,NA,NA
Phenylephrine,LINCSCP_175260,YAPC,0.12uM,24h,4,NA,-0.20179464,NA,NA
BRD-K34639619-001-01-1,LINCSCP_34011,MCF7,10uM,6h,NA,NA,-0.20175676,NA,NA
Pranlukast,LINCSCP_144523,MCF7,1.11uM,24h,NA,NA,-0.20171644,NA,NA
BRD-K71714567,LINCSCP_38085,MCF7,0.5uM,6h,NA,NA,-0.20164737,NA,NA
Bifemelane,LINCSCP_102214,HELA,10uM,24h,NA,NA,-0.20159451,NA,NA
MLS003153124,LINCSCP_45513,PC3,10uM,24h,NA,NA,-0.20155568,NA,-0.27532845
"MEK162 (ARRY-162, ARRY-438162)",LINCSCP_125211,HT29,0.04uM,24h,3,NA,-0.20155292,NA,NA
BRD-K80806019,LINCSCP_3416,A375,5uM,24h,NA,NA,-0.20147213,NA,NA
BRD-K62957477,LINCSCP_229411,HT29,5uM,24h,NA,NA,-0.20142737,NA,NA
vicriviroc,LINCSCP_42490,NPC,10uM,24h,NA,NA,-0.20139773,NA,NA
MLS002276507,LINCSCP_16116,HA1E,10uM,6h,NA,NA,-0.20126017,NA,NA
Alectinib,LINCSCP_134158,MCF7,3.33uM,24h,4,NA,-0.20125845,NA,NA
BRD-K21374126,LINCSCP_43106,NPC,10uM,24h,NA,NA,-0.20106887,NA,NA
Perindopril,LINCSCP_103853,HELA,10uM,24h,4,NA,-0.20104509,NA,NA
betaescin,LINCSCP_123337,HT29,10uM,24h,NA,NA,-0.2010421,NA,NA
Adenosine,LINCSCP_105207,HELA,10uM,24h,4,NA,-0.20097946,NA,NA
TRAMIPROSATE,LINCSCP_96573,HA1E,0.37uM,24h,3,NA,-0.20080996,NA,NA
CHEMBL3185697,LINCSCP_64751,VCAP,10uM,6h,NA,NA,-0.20071195,NA,NA
639090-55-4,LINCSCP_25900,HT29,10uM,24h,NA,NA,-0.20051781,NA,NA
Trioxsalen,LINCSCP_18592,HCC515,10uM,24h,4,NA,-0.20049294,NA,NA
Clozapine,LINCSCP_170625,YAPC,0.37uM,24h,4,NA,-0.20041455,NA,0.2286385
NCGC00025322-01,LINCSCP_14050,HA1E,10uM,24h,NA,NA,-0.20034843,NA,NA
BRD-K12973880,LINCSCP_312269,VCAP,10uM,24h,NA,NA,-0.20033342,NA,NA
Acivicin,LINCSCP_169649,YAPC,0.05uM,24h,NA,NA,-0.20032683,NA,NA
MBX-2982,LINCSCP_137627,MCF7,0.04uM,24h,NA,NA,-0.20031367,NA,NA
Zileuton,LINCSCP_4445,A549,100uM,24h,4,NA,-0.20015051,NA,NA
Pomalidomide,LINCSCP_137835,MCF7,0.37uM,24h,4,NA,-0.20013357,NA,NA
BRD-K89833083,LINCSCP_312232,VCAP,10uM,6h,NA,NA,-0.20012254,NA,NA
Nisoxetine,LINCSCP_99187,HA1E,10uM,24h,NA,NA,NA,0.36756137,NA
TPCA-1,LINCSCP_88275,HA1E,1.11uM,24h,NA,NA,NA,0.3615027,NA
Olaparib,LINCSCP_84446,ASC,10uM,24h,4,NA,NA,0.3380357,NA
CHEMBL1673039,LINCSCP_116858,HT29,0.37uM,24h,NA,NA,NA,0.33371697,NA
TL_HRAS24,LINCSCP_5335,A549,10uM,6h,NA,NA,NA,0.32143452,NA
Dasb,LINCSCP_41219,NEU,10uM,24h,NA,NA,NA,0.31958943,NA
Idelalisib,LINCSCP_70001,A375,10uM,24h,4,NA,NA,0.3194717,NA
GSK429286A,LINCSCP_112620,HEPG2,3.33uM,24h,NA,NA,NA,0.31926025,NA
Curcumin,LINCSCP_49426,PC3,0.1uM,6h,NA,NA,NA,0.3156138,NA
Raloxifene,LINCSCP_204005,ASC,10uM,24h,4,NA,NA,0.30765759,NA
Famotidine,LINCSCP_238822,MCF7,10uM,24h,4,NA,NA,0.30754188,NA
BRD-K63406313,LINCSCP_60479,VCAP,5uM,6h,NA,NA,NA,0.30621965,NA
Y-39983,LINCSCP_86135,BT20,0.04uM,24h,1,NA,NA,0.30333469,NA
CAY10618,LINCSCP_40136,NCIH2073,10uM,6h,NA,NA,NA,0.30266241,NA
Latrepirdine,LINCSCP_31274,MCF7,10uM,6h,3,NA,NA,0.29953749,NA
CGK733,LINCSCP_87179,CD34,3.33uM,24h,NA,NA,NA,0.29920679,NA
"N-(2,3-Dimethylphenyl)bicyclo[2.2.1]heptane-2-carboxamide",LINCSCP_31324,MCF7,10uM,24h,NA,NA,NA,0.29900389,NA
MLS001065825,LINCSCP_1199,A375,10uM,24h,NA,NA,NA,0.29497276,NA
1166227-08-2,LINCSCP_88294,HA1E,3.33uM,24h,NA,NA,NA,0.2945996,NA
ST070885,LINCSCP_58562,VCAP,10uM,24h,NA,NA,NA,0.29398936,NA
Doramapimod,LINCSCP_88478,HA1E,0.04uM,24h,2,NA,NA,0.29305048,NA
LDN 193189,LINCSCP_150872,PC3,3.33uM,24h,NA,NA,NA,0.29116736,NA
BRD-K03113036-001-01-9,LINCSCP_63329,VCAP,5uM,24h,NA,NA,NA,0.29105846,NA
SCHEMBL1675329,LINCSCP_1628,A375,10uM,6h,NA,NA,NA,0.29052488,NA
Lavendustin A,LINCSCP_33734,MCF7,10uM,6h,NA,NA,NA,0.29049914,NA
MLS002264432,LINCSCP_19965,HCC515,10uM,6h,NA,NA,NA,0.28828631,NA
CHEMBL1242477,LINCSCP_35672,MCF7,0.1uM,24h,NA,NA,NA,0.28783582,NA
Resveratrol,LINCSCP_70295,A375,1.11uM,24h,NA,NA,NA,0.28742011,NA
SMR000651464,LINCSCP_210646,HA1E,10uM,6h,NA,NA,NA,0.2869553,NA
Selumetinib,LINCSCP_38872,MCF7,0.5uM,6h,3,NA,NA,0.28607847,NA
BRD-K00541818,LINCSCP_106107,HELA,10uM,24h,NA,NA,NA,0.28605535,NA
CYTO7H11,LINCSCP_19453,HCC515,10uM,6h,NA,NA,NA,0.28499817,NA
atorvastatin,LINCSCP_23536,HEPG2,3uM,24h,NA,NA,NA,0.28478785,NA
"(3S,11bs)-Tetrabenazine",LINCSCP_111040,HELA,0.37uM,24h,NA,NA,NA,0.28450924,NA
BRD-K58191509,LINCSCP_33886,MCF7,10uM,24h,NA,NA,NA,0.28440836,NA
AC1Q6JJ5,LINCSCP_43716,OV7,0.1uM,6h,NA,NA,NA,0.28429197,NA
NCGC00346967-01,LINCSCP_84738,ASC,1.11uM,24h,NA,NA,NA,0.28420431,NA
Tamatinib,LINCSCP_29716,MCF10A,0.5uM,6h,2,NA,NA,0.28389615,NA
AS-605240,LINCSCP_24518,HS578T,1uM,6h,NA,NA,NA,0.28368423,NA
"1-(1,3-Benzodioxol-5-ylcarbonyl)piperidine",LINCSCP_152730,PC3,0.04uM,24h,NA,NA,NA,0.2827889,NA
"6-(7-Hydroxy-6,7-dihydro-5H-pyrrolo[1,2-c]imidazol-7-yl)-n-methyl-2-naphthamide",LINCSCP_30406,MCF7,40uM,24h,NA,NA,NA,0.28266861,NA
Motesanib,LINCSCP_24650,HS578T,10uM,6h,3,NA,NA,0.28015879,NA
BRD-K16539011,LINCSCP_3330,A375,5uM,24h,NA,NA,NA,0.27963003,NA
MLS001203652,LINCSCP_242452,MCF7,10uM,24h,NA,NA,NA,0.27957226,NA
Veliparib,LINCSCP_117217,HT29,0.12uM,24h,NA,NA,NA,0.27935425,NA
SGX-523,LINCSCP_36895,MCF7,0.1uM,6h,1,NA,NA,0.27898587,NA
CHEMBL567331,LINCSCP_1608,A375,10uM,6h,NA,NA,NA,0.27885622,NA
BRD-K33868913,LINCSCP_183008,A375,5uM,24h,NA,NA,NA,0.27877029,NA
MLS002232309,LINCSCP_29519,MCF10A,0.5uM,24h,NA,NA,NA,0.27862346,NA
CX-5461,LINCSCP_165844,SKL,10uM,24h,NA,NA,NA,0.27824359,NA
MLS003128853,LINCSCP_64460,VCAP,5uM,6h,NA,NA,NA,0.27823846,NA
"13-Methyl-7-[9-(4,4,5,5,5-pentafluoropentylsulfinyl)nonyl]-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol",LINCSCP_68811,VCAP,10uM,6h,NA,NA,NA,0.27808879,NA
MAYBRIDGE4_003950,LINCSCP_296131,VCAP,10uM,24h,NA,NA,NA,0.27797256,NA
BRD-K33936059,LINCSCP_310006,VCAP,10uM,24h,NA,NA,NA,0.27790836,NA
MLS006011051,LINCSCP_83877,ASC.C,0.04uM,24h,NA,NA,NA,0.27712306,NA
BRD-K61359353,LINCSCP_59686,VCAP,5uM,24h,NA,NA,NA,0.27681549,NA
Cerulenin,LINCSCP_54250,SW620,40uM,6h,NA,NA,NA,0.27676821,NA
"5-{[3-(Dimethylamino)propyl]amino}-2-(2-fluorophenyl)-1,3-oxazole-4-carbonitrile",LINCSCP_294821,VCAP,10uM,24h,NA,NA,NA,0.2766687,NA
MLS-0258268.0001,LINCSCP_15711,HA1E,10uM,24h,NA,NA,NA,0.27611766,NA
Rucaparib,LINCSCP_13594,H1299,10uM,6h,4,NA,NA,0.27591413,NA
RO10-5824,LINCSCP_241405,MCF7,10uM,6h,NA,NA,NA,0.27551936,NA
Tyrphostin AG-1478,LINCSCP_116979,HT29,1.11uM,24h,NA,NA,NA,0.27547793,NA
PD-0325901,LINCSCP_85045,ASC,3.33uM,24h,2,NA,NA,0.27485944,NA
SCHEMBL17378613,LINCSCP_165401,SKL,3.33uM,24h,NA,NA,NA,0.27471333,NA
SKF96365,LINCSCP_56508,VCAP,10uM,6h,NA,NA,NA,0.2745057,NA
