integratedMoas,Target,GeneTargets,N
Ubiquitin specific protease inhibitor,"3,5-Bis(4-methylbenzylidene)piperidin-4-one",SENP2|USP1|USP2|USP7,8
Farnesyltransferase inhibitor,Manumycin-A|BDBM50127227|Tipifarnib,FNTA|IKBKB|CHURC1-FNTB|FNTB,7
Mitotic inhibitor,MLN-8054|AT-9283,AURKA|ABL1|AURKB|FLT3|JAK2|JAK3,7
Opioid receptor antagonist,"UNII-BXU45ZH6LI|Bntx|Chloroxine|15-Benzyl-4-cyclopropylmethyl-10,17-dihydroxy-(1S,13R,15R,17S)-12-oxa-4-azapentacyclo[9.6.1.01,13.05,17.07,18]octadeca-7,9,11(18)-trien-14-one|SPECTRUM_001645",OPRL1|OPRD1|NA|OPRK1|OPRM1,7
Progesterone receptor agonist,Hydroxyprogesterone Caproate,AR|ESR1|ESR2|NR1H4|NR1I2|NR3C1|PGR,7
STAT inhibitor,Niclosamide|Cucurbitacin I|Cucurbitacin-I|Ursolic acid,STAT3|JAK2|HSD11B1|PTPN1,7
DNA polymerase (alpha/delta/epsilon) inhibitor (DNA polymerase,Clofarabine,POLA1|POLD1|POLE|RRM1|RRM2|RRM2B,6
DNA synthesis inhibitor,22862-76-6|Fdurd|SPECTRUM2_000920|Anisomycin|Fludarabine|Artesunate,NA|RRM1,6
DNA topoisomerase II inhibitor,Etoposide|ETOPOSIDE|etoposide,TOP2A|TOP2B,6
Hepatocyte growth factor receptor inhibitor,EMD-1214063|Cabozantinib|SU 11274|Golvatinib (E7050),MET|KDR,6
Lipoxygenase inhibitor,BSPBIO_001592|Tremulacin|Curcumin|CHEMBL1573436,PTGS1|PTGS2|NA|ALOX12,6
Protein synthesis inhibitor,Puromycin|Puromycin Hydrochloride|Thiostrepton|Omacetaxine Mepesuccinate|Diloxanide Furoate,NA|FOXM1,6
RNA polymerase inhibitor,Rifapentine,CYP2C8|CYP2C9|CYP3A4,6
Ribonucleoside-diphosphate reductase RR1 inhibitor,Clofarabine,POLA1|POLD1|POLE|RRM1|RRM2|RRM2B,6
TNF production inhibitor,COT Inhibitor-2|Thalidomide,NA|CRBN|CUL4A|DDB1|RBX1|TNF,6
Tyrosine phosphatase inhibitor,GNF-PF-159|Ursolic acid|SCHEMBL10195776,NA|HSD11B1|PTPN1|PTPN11|PTPN2,6
Acetylcholinesterase inhibitor,Ursolic acid|Rivastigmine|Eseroline,HSD11B1|PTPN1|ACHE|BCHE|NA,5
D2-like dopamine receptor inverse agonist,Haloperidol,DRD1|DRD2|DRD3|DRD4|HTR2A,5
Histamine receptor antagonist,Terfenadine|Brompheniramine|Ciproxifan|Loratadine,HRH1|KCNH2|HRH3,5
Histone acetyltransferase inhibitor,BSPBIO_001592|STK219801|Curcumin,PTGS1|PTGS2|NA,5
Histone deacetylase 1 inhibitor,Vorinostat,HDAC1|HDAC2|HDAC3|HDAC6|HDAC8,5
Histone deacetylase 2 inhibitor,Vorinostat,HDAC1|HDAC2|HDAC3|HDAC6|HDAC8,5
Histone deacetylase 3 inhibitor,Vorinostat,HDAC1|HDAC2|HDAC3|HDAC6|HDAC8,5
Histone deacetylase 6 inhibitor,Vorinostat,HDAC1|HDAC2|HDAC3|HDAC6|HDAC8,5
Inositol monophosphatase inhibitor,Mycophenolate Mofetil|6-(4-Hydroxy-6-methoxy-7-methyl-3-oxo-1H-2-benzofuran-5-yl)-4-methylhex-4-enoic acid|L-690488,IMPDH1|IMPDH2|IMPA1,5
Nitric oxide synthase inhibitor,Gallocatechin Gallate|Diphenyleneiodonium|Proadifen,BACE1|FASN|NOS2|NOS3|NOS1,5
RAD51 inhibitor,Amuvatinib|MLS000709026,FLT3|KIT|MET|PDGFRA|RAD51,5
Selective estrogen receptor modulator (SERM),"4-Hydroxytamoxifen|Toremifene|2-(4-(4-Chloro-1,2-diphenylbut-1-en-1-yl)phenoxy)-n,n-dimethylethanamine",ESR1|ESR2,5
Serine/threonine-protein kinase Aurora-B inhibitor,KW-2449|AZD1152,ABL1|AURKA|AURKB|FLT3,5
T-type calcium channel blocker,Penfluridol|Mibefradil,NA|CACNA1C|CACNA1G|CACNA1H|CACNA1I,5
ATM kinase inhibitor,CP466722|CGK733|KU-55933,ATM|ATR,4
ATP synthase inhibitor,Heliomycin|Antimycin A|BRD-K74133369-001-01-8,NA|CYCS|ATP5A1,4
Adenylyl cyclase activator,AC1O7M2R|Coleoforsin|7Beta-forskolin,ADCY2|ADCY5,4
Adrenergic receptor agonist,Bambuterol|CGP-12177,ADRB2|ADRB1|ADRB3,4
Apoptosis stimulant,Fenretinide|Plumbagin|Kinetin Riboside|CBIOL_001848,RARA|NA,4
BTK inhibitor,QL47|QL-XII-47,BMX|BTK,4
CHK inhibitor,PF477736|SB-218078|SCHEMBL1564574,CHEK1|CHEK2,4
Cyclin-dependent kinase 1 inhibitor,Dinaciclib,CDK1|CDK2|CDK5|CDK9,4
Cyclin-dependent kinase 2 inhibitor,Dinaciclib,CDK1|CDK2|CDK5|CDK9,4
